task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task115,1014,1014,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task115.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task115.onnx,,unchanged,,,,,,,,,,,,,,,,
task121,326,326,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task121.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task121.onnx,,unchanged,,,,,,,,,,,,,,,,
task127,396,396,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task127.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task127.onnx,,unchanged,,,,,,,,,,,,,,,,
task132,1260,3651,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task132.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task132.onnx,,unchanged,,,,,,,,,,,,,,,,
task133,21274,21250,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task133.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task133.onnx,,unchanged,,,,,,,,,,,,,,,,
task137,3389,3386,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task137.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task137.onnx,,unchanged,,,,,,,,,,,,,,,,
task141,1383,1383,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task141.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task141.onnx,,unchanged,,,,,,,,,,,,,,,,
task142,90,90,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task142.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task142.onnx,,unchanged,,,,,,,,,,,,,,,,
task144,100,104,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task144.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task144.onnx,,unchanged,,,,,,,,,,,,,,,,
task145,12855,12855,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task145.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task145.onnx,,unchanged,,,,,,,,,,,,,,,,
