task,attempt_id,method,old_cost,new_cost,delta_cost,old_points,new_points,delta_points,local_valid,artifact_path,accepted,notes
task349,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,14892,14892,0,15.391420565007392,15.391420565007392,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task349.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task077,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,7657,7657,0,16.056624458886876,16.056624458886876,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task077.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task077,surgery_sim,onnxoptimizer/onnxsim_full_validate,7657,7657,0,16.056624458886876,16.056624458886876,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task077.onnx,False,onnxsim(input=1x10x30x30)
task077,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,7657,7657,0,16.056624458886876,16.056624458886876,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task077.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task096,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,7678,7678,0,16.053885624439257,16.053885624439257,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task096.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task096,surgery_sim,onnxoptimizer/onnxsim_full_validate,7678,7678,0,16.053885624439257,16.053885624439257,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task096.onnx,False,onnxsim(input=1x10x30x30)
task096,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,7678,7678,0,16.053885624439257,16.053885624439257,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task096.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
task009,surgery_optimizer,onnxoptimizer/onnxsim_full_validate,6694,6694,0,16.191033118228727,16.191033118228727,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task009.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm"
task009,surgery_sim,onnxoptimizer/onnxsim_full_validate,6694,6694,0,16.191033118228727,16.191033118228727,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task009.onnx,False,onnxsim(input=1x10x30x30)
task009,surgery_optimizer_sim,onnxoptimizer/onnxsim_full_validate,6694,6694,0,16.191033118228727,16.191033118228727,,True,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task009.onnx,False,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)"
