task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task133.onnx,False,False,1,0,1,,0,,,9198,fdbc5edc242d0490eaf5992ada42c7a6af2e8eabcb891f60cda3639e65b0ddb2,,fdbc5edc242d0490eaf5992ada42c7a6af2e8eabcb891f60cda3639e65b0ddb2
task174,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task174.onnx,False,False,1,0,1,,0,,,61809,0da74e0abc11bb81d5ade895532fe99f27a22ce602a2caf00681262240b647fd,,0da74e0abc11bb81d5ade895532fe99f27a22ce602a2caf00681262240b647fd
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task249.onnx,False,False,1,0,1,,0,,,1228,733aebd582ddde18a6691e3a21d6209e8b6c4830c9772bd413fa30c5841967ff,,733aebd582ddde18a6691e3a21d6209e8b6c4830c9772bd413fa30c5841967ff
task315,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task315.onnx,False,False,1,0,1,,0,,,1059,c0d87f2ee760fa386459917886418b034a592167caf5f98fbd05d13e37cbbdac,,c0d87f2ee760fa386459917886418b034a592167caf5f98fbd05d13e37cbbdac
task321,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_predict\task321.onnx,False,False,1,0,1,,0,,,1467,0edf69fa073260fe7a347a449292345f81bfdd77d9e64a7c7ba4c13d04be1cab,,0edf69fa073260fe7a347a449292345f81bfdd77d9e64a7c7ba4c13d04be1cab
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v001\task133.onnx,True,False,3,3,0,196254,480,196734,12.810392158501072,10318,d8926078764d01a40639869e1b6d4238304953c0d679f62f48d4b5a9720542ec,,d8926078764d01a40639869e1b6d4238304953c0d679f62f48d4b5a9720542ec
task249,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v001\task249.onnx,True,False,3,3,0,8676,323,8999,15.895131260966052,1912,dde855774ef1a32a1960a4696e54abf617eebe91340c70355f303440b7758f6b,,dde855774ef1a32a1960a4696e54abf617eebe91340c70355f303440b7758f6b
task315,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v001\task315.onnx,True,False,3,3,0,9540,17,9557,15.83497085073382,1167,e90e9fdba6c27023c8aa0b2a5551bb93b6b95f46075245fed650566d7e77cd51,,e90e9fdba6c27023c8aa0b2a5551bb93b6b95f46075245fed650566d7e77cd51
task321,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v001\task321.onnx,True,False,3,3,0,5376,135,5511,16.385498626116764,1733,2e36977fc386c76ebb921b21626cb0733b08b8f40969cc3ff8635f327f718f5e,,2e36977fc386c76ebb921b21626cb0733b08b8f40969cc3ff8635f327f718f5e
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v138_default_all_v001\task118.onnx,True,False,3,3,0,116104,140,116244,13.336553290785615,6545,d7c43f5837168a847b0a42f775fe0187c49dc231b222c1fc1918900906b429f6,,d7c43f5837168a847b0a42f775fe0187c49dc231b222c1fc1918900906b429f6
task118,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v143_default_all_v001\task118.onnx,True,False,3,3,0,114332,143,114475,13.351888262474704,6649,7185d7171c666619593c26811ce9acb9d6377f0fffc5412496140f7e96eafc9a,,7185d7171c666619593c26811ce9acb9d6377f0fffc5412496140f7e96eafc9a
task133,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_v143_default_all_v001\task133.onnx,True,False,3,3,0,157554,423,157977,13.029795268207435,13993,737bfa2c0ed9913a2255db0ac20a61479c18eb0adc200069a94d2bc040a13c9e,,737bfa2c0ed9913a2255db0ac20a61479c18eb0adc200069a94d2bc040a13c9e
