task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task047,862,18.240745,work/public-kernel-outputs/latest_frank_726672/submission.zip::task047.onnx,7a9b76d46fa67b896ead9c80c3c13e8a408bb0d969aa6c4054fb74c6bb0caf58,2305,True,862,18.240744729336306,0,-2.7066369412409585e-07,
task055,3141,16.947704,work/public-kernel-outputs/latest_frank_726672/submission.zip::task055.onnx,c10324dc3827ff7efc3a305ecb421cffaf454e48cbacf77395e3f90cce454584,1243,True,1856,17.473821086653853,-1285,0.5261170866538514,
task073,40,21.311121,work/public-kernel-outputs/latest_frank_726672/submission.zip::task073.onnx,e4316bf775feba0bc9dc82c0472b0b990aefde5fb40341dc51ca6d6f221e9fac,371,True,40,21.311120545886062,0,-4.541139375646708e-07,
task074,9050,15.88948,work/public-kernel-outputs/latest_frank_726672/submission.zip::task074.onnx,1da6eb4193b945cd8e974b30162f8ecc40231d1f4ffa8786285179e299df351e,8001,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'output'
task082,190,19.752976,work/public-kernel-outputs/latest_frank_726672/submission.zip::task082.onnx,e050837db177e7d6b2e5ad5c4cd76bcf19e85a0aedf3fc265056d75870d80446,989,True,190,19.752975927839515,0,-7.216048558689181e-08,
task087,5,23.390562,work/public-kernel-outputs/latest_frank_726672/submission.zip::task087.onnx,d4830ee432562703ce0e624377faf58bf72b5433e6b4616e8268be0d20a86dc8,382,True,5,23.3905620875659,0,8.756590119674001e-08,
task089,6739,16.184333,work/public-kernel-outputs/latest_frank_726672/submission.zip::task089.onnx,ad3b8a7ebbebaaaa65548d3e085ebd6936f24e0366447b8628cbb1c3fbd209f3,6635,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_25'
task095,345,19.156456,work/public-kernel-outputs/latest_frank_726672/submission.zip::task095.onnx,e3212af213f8b2799ceaa19a24ec62248dfb084bf6216535e58cb6020a2e8f7d,587,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for ConvInteger(10) node with name 'output'
task099,1899,17.450917,work/public-kernel-outputs/latest_frank_726672/submission.zip::task099.onnx,ab94772539ef0dbfdc58037072177708007665f218165e04cac7062f626749df,9183,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Add(14) node with name 'safe_name_21'
task105,2941,17.013495,work/public-kernel-outputs/latest_frank_726672/submission.zip::task105.onnx,302d69cd545e634d006a78d3959611154b7f0f082ef7b60527e45244cd8e79ed,6507,True,2866,17.039327391611884,-75,0.02583239161188544,
task106,626,18.56065,work/public-kernel-outputs/latest_frank_726672/submission.zip::task106.onnx,e1830f3821bacd5471705e7a966cdea81ee40634c2132e856403d4a2f2321448,1177,True,626,18.560649628899903,0,-3.7110009643015474e-07,
