task_id,owner,owner_track,priority_band,assignment_points,current_score,gap_to_target,total_cost,correctness,shape_class,size_trend,color_class,candidate_id,source_type,onnx_template_candidate,recoverability,estimated_gain,priority,notes
task108,C,onnx_equiv_compression,P3_ge17p5,19.296218,19.2962175253438,5.703782474656201,300.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.703782474656201,11.407565,
task146,C,onnx_equiv_compression,P3_ge17p5,19.412751,19.42027017401378,5.57972982598622,265.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.57972982598622,11.15946,
task315,C,onnx_equiv_compression,P3_ge17p5,19.561921,19.561920691076804,5.4380793089231965,230.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.4380793089231965,10.876159,
task180,C,onnx_equiv_compression,P3_ge17p5,19.652892,19.65289246928253,5.347107530717469,210.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.347107530717469,10.694215,
task052,C,onnx_equiv_compression,P3_ge17p5,19.732142,19.73214184093667,5.26785815906333,194.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.26785815906333,10.535716,
task252,C,onnx_equiv_compression,P3_ge17p5,19.807043,19.807043149109788,5.192956850890212,180.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.192956850890212,10.385914,
task391,C,onnx_equiv_compression,P3_ge17p5,19.931096,19.93109579777977,5.0689042022202315,159.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,5.0689042022202315,10.137808,
task347,C,onnx_equiv_compression,P3_ge17p5,20.037155,20.03715536974009,4.962844630259909,143.0,pass,shape_change,shrink,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,4.962844630259909,9.925689,
task298,C,onnx_equiv_compression,P3_ge17p5,20.094725,20.09472522156157,4.905274778438429,135.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,4.905274778438429,9.81055,
task144,C,onnx_equiv_compression,P3_ge17p5,20.355609,20.35560910085863,4.644390899141371,104.0,pass,shape_change,shrink,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,4.644390899141371,9.288782,
task142,C,onnx_equiv_compression,P3_ge17p5,20.500190,20.500190329669735,4.499809670330265,90.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,4.499809670330265,8.999619,
task373,C,onnx_equiv_compression,P3_ge17p5,20.905655,20.9056554377779,4.094344562222101,60.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,4.094344562222101,8.188689,
task113,C,onnx_equiv_compression,P3_ge17p5,21.598803,21.598802618337846,3.401197381662154,30.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,3.401197381662154,6.802395,
task311,C,onnx_equiv_compression,P3_ge17p5,21.598803,21.598802618337846,3.401197381662154,30.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,3.401197381662154,6.802395,
task276,C,onnx_equiv_compression,P3_ge17p5,22.697415,22.697414907005953,2.302585092994047,10.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,2.302585092994047,4.60517,
task307,C,onnx_equiv_compression,P3_ge17p5,23.390562,23.3905620875659,1.6094379124340996,5.0,pass,shape_change,grow,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,1.6094379124340996,3.218876,
